Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-80.0,-80.0,-88.0,-58.0,1.2,1.6
-76.0,-76.0,-81.0,-52.0,1.2,1.6
-78.0,-77.0,-79.0,-62.0,1.2,1.6
-82.0,-72.0,-79.0,-54.0,2.0,3.2
-85.0,-72.0,-79.0,-53.0,2.0,3.2
-84.0,-72.0,-80.0,-57.0,2.0,3.2
-76.0,-70.0,-76.0,-54.0,2.0,3.2
-82.0,-72.0,-79.0,-54.0,2.0,3.2
-77.0,-72.0,-86.0,-63.0,2.0,3.2
-84.0,-72.0,-72.0,-73.0,3.0,3.2
-76.0,-69.0,-71.0,-79.0,3.0,3.2
-76.0,-70.0,-76.0,-83.0,3.0,3.2
-78.0,-69.0,-85.0,-77.0,3.0,3.2
-89.0,-76.0,-76.0,-75.0,1.0,3.2
-78.0,-76.0,-72.0,-72.0,1.0,3.2
-78.0,-80.0,-76.0,-86.0,1.0,3.2
-77.0,-65.0,-79.0,-70.0,1.0,3.2
-76.0,-68.0,-81.0,-79.0,1.0,3.2
-77.0,-78.0,-81.0,-65.0,1.0,0.0
-75.0,-73.0,-81.0,-66.0,1.0,0.0
-76.0,-73.0,-73.0,-58.0,1.0,0.0
-76.0,-69.0,-73.0,-65.0,1.0,0.0
-75.0,-79.0,-83.0,-66.0,1.0,0.0
-77.0,-69.0,-72.0,-57.0,1.0,0.0
-78.0,-77.0,-77.0,-77.0,3.0,0.0
-79.0,-80.0,-77.0,-67.0,3.0,0.0
-78.0,-75.0,-82.0,-78.0,3.0,0.0
-80.0,-78.0,-80.0,-67.0,3.0,0.0
-79.0,-81.0,-78.0,-62.0,3.0,0.0
-83.0,-79.0,-66.0,-77.0,11.8,1.25
-78.0,-74.0,-63.0,-84.0,11.8,1.25
-72.0,-75.0,-56.0,-76.0,11.8,1.25
-70.0,-80.0,-58.0,-78.0,11.8,1.25
-72.0,-73.0,-58.0,-76.0,11.8,1.25
-76.0,-82.0,-61.0,-79.0,12.1,0.05
-75.0,-79.0,-66.0,-77.0,12.1,0.05
-77.0,-79.0,-70.0,-81.0,12.1,0.05
-77.0,-77.0,-67.0,-82.0,12.1,0.05
-77.0,-80.0,-67.0,-82.0,12.1,0.05
-77.0,-76.0,-72.0,-78.0,12.1,2.45
-71.0,-85.0,-66.0,-83.0,12.1,2.45
-75.0,-77.0,-75.0,-80.0,12.1,2.45
-75.0,-77.0,-66.0,-82.0,12.1,2.45
-75.0,-77.0,-66.0,-84.0,12.1,2.45
-77.0,-56.0,-71.0,-83.0,7.15,5.65
-82.0,-68.0,-77.0,-71.0,7.15,5.65
-82.0,-68.0,-77.0,-79.0,7.15,5.65
-72.0,-56.0,-77.0,-79.0,7.15,5.65
-73.0,-55.0,-73.0,-71.0,7.15,5.65
-78.0,-66.0,-77.0,-76.0,7.15,4.45
-70.0,-69.0,-77.0,-87.0,7.15,4.45
-70.0,-68.0,-78.0,-75.0,7.15,4.45
-78.0,-68.0,-72.0,-81.0,7.15,4.45
-81.0,-56.0,-66.0,-72.0,6.15,4.45
-74.0,-56.0,-66.0,-78.0,6.15,4.45
-76.0,-58.0,-66.0,-79.0,6.15,4.45
-73.0,-63.0,-76.0,-74.0,6.15,4.45
-76.0,-63.0,-65.0,-75.0,6.15,4.45
-75.0,-56.0,-66.0,-77.0,6.15,4.45
-73.0,-62.0,-79.0,-72.0,6.15,4.45
-76.0,-62.0,-74.0,-76.0,5.35,2.85
-76.0,-68.0,-77.0,-75.0,5.35,2.85
-76.0,-68.0,-78.0,-76.0,5.35,2.85
-70.0,-69.0,-78.0,-74.0,5.35,2.85
-75.0,-70.0,-74.0,-75.0,5.35,2.85
