Beacon_1,Beacon_2,Beacon_3,Beacon_4,Area
-73,-77,-81,-75,E
-73,-77,-77,-73,E
-78,-77,-73,-71,E
-74,-63,-73,-76,E
-73,-72,-73,-76,E
-73,-72,-73,-76,E
-75,-72,-84,-76,E
-74,-72,-77,-76,E
-79,-72,-73,-78,E
-79,-72,-71,-77,E
-79,-72,-76,-77,E
-71,-76,-70,-79,E
-76,-66,-77,-79,E
-79,-70,-75,-78,E
-79,-76,-75,-78,E
-79,-76,-75,-78,E
-64,-79,-71,-85,E
-73,-79,-72,-85,E
-83,-80,-73,-88,E
-79,-73,-81,-88,E
-77,-85,-79,-78,E
-72,-82,-64,-78,E
-80,-80,-71,-78,E
-73,-77,-70,-92,E
-70,-83,-70,-74,E
-70,-74,-70,-73,E
-75,-76,-79,-83,E
-66,-78,-78,-77,E
-66,-71,-68,-77,E
-68,-71,-75,-77,E
-75,-71,-70,-76,E
-70,-71,-79,-76,E
-69,-71,-67,-76,E
-72,-62,-69,-76,E
-74,-72,-73,-68,E
-78,-61,-69,-72,E
-75,-74,-69,-72,E
-72,-73,-69,-77,E
-76,-73,-76,-77,E
-82,-73,-78,-77,E
-75,-73,-78,-78,E
-79,-72,-78,-77,E
-79,-73,-76,-73,E
-72,-73,-78,-73,E
-75,-75,-75,-76,E
-80,-66,-85,-80,E
-76,-85,-78,-74,E
-75,-77,-76,-70,E
-79,-71,-74,-66,E
-78,-71,-77,-66,E
-84,-71,-74,-76,E
-72,-74,-66,-76,E
-72,-75,-66,-78,E
-73,-76,-68,-78,E
-70,-76,-71,-70,E
-74,-76,-73,-72,E
-71,-76,-78,-80,E
-74,-76,-78,-80,E
-74,-76,-73,-80,E
-67,-76,-67,-75,E
-68,-76,-81,-76,E
-65,-80,-75,-83,E
-68,-72,-72,-83,E
-70,-78,-76,-83,E
-83,-78,-71,-80,E
-83,-77,-77,-77,E
-83,-77,-74,-77,E
-70,-77,-70,-78,E
-70,-67,-70,-74,E
-72,-76,-72,-74,E
-76,-76,-73,-77,E
-79,-76,-78,-84,E
-80,-76,-78,-84,E
-77,-78,-68,-80,E
-69,-63,-70,-76,E
-63,-78,-70,-90,D
-71,-78,-76,-90,E
