Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-72,-56,-77,-79,7.15,5.65
-73,-55,-73,-71,7.15,5.65
-72,-81,-72,-80,7.15,4.45
-78,-66,-77,-76,7.15,4.45
-70,-69,-77,-87,7.15,4.45
-70,-68,-78,-75,7.15,4.45
-78,-68,-72,-81,7.15,4.45
-81,-56,-66,-72,6.15,4.45
-74,-56,-66,-78,6.15,4.45
-76,-58,-66,-79,6.15,4.45
-73,-63,-76,-74,6.15,4.45
-76,-63,-65,-75,6.15,4.45
-75,-56,-66,-77,6.15,4.45
-73,-62,-79,-72,6.15,4.45
-76,-62,-74,-76,5.35,2.85
-76,-68,-77,-75,5.35,2.85
-76,-68,-78,-76,5.35,2.85
-70,-69,-78,-74,5.35,2.85
-75,-70,-74,-75,5.35,2.85
